device_id,event_count
1.000231566338031e+18,44
1.000369272589011e+18,3
1.0005720558923916e+18,10
1.0006432087505178e+18,3
1.0008666369272046e+18,1
1.0013377593270424e+18,109
1.0013749732860357e+17,16
1.0016658541628506e+18,1
1.0018856698476673e+18,13
1.001949518704267e+18,17
1.0020348898578668e+18,1
1.0020621726718202e+18,9
1.0020796243475342e+18,15
1.002532235230213e+18,12
1.0025953720591796e+18,7
1.002615030101782e+18,2
1.0027335766709743e+18,55
1.0029694560917027e+18,7
1.0030402526531873e+18,24
1.0033718284558597e+18,1
1.0035667282465244e+18,47
1.0035759230081166e+18,34
1.0039972042050798e+18,63
1.0041592066957801e+18,32
1.0042914316036374e+18,1
1.0043319992634917e+18,221
1.0043404791331636e+18,3
1.0045581410419949e+18,3
1.004665990003063e+18,121
1.0048516801053972e+18,32
1.0049008627569096e+18,24
1.0052296029588797e+18,28
1.0054111029472474e+18,44
1.0055728896536792e+18,2
1.0057358143943579e+18,14
1.0058386025076415e+18,1
1.0060118273281254e+18,1
1.0061172963101805e+18,46
1.0062440958476749e+18,22
1.0063577885602275e+18,51
1.0065620229427387e+18,5
1.0068398714301654e+16,132
1.0069449318238564e+18,4
1.0069485194283576e+18,3
1.0069958316367311e+18,6
1.0070198750892234e+18,1
1.007101310394582e+17,77
1.0072496848925217e+18,15
1.0074720461127104e+17,104
1.00763771558316e+18,30
1.0077200664894386e+18,382
1.0078764060410651e+18,91
1.0080242643914097e+18,8
1.0080319780458819e+18,26
1.0080550173613393e+18,22
1.0084256941435647e+18,26
1.0084858077742918e+18,20
1.0089729312152946e+18,7
1.0090191582341285e+18,72
1.0090201408182071e+18,1
1.0094046642657501e+18,47
1.0096305157427702e+18,13
1.0098067650987722e+18,3
1.0101075317414548e+18,13
1.0102200487803283e+18,27
1.010331399860273e+18,4
1.010359452115832e+18,2
1.010368021176859e+18,4
1.0104508907120932e+18,1
1.0105048479820572e+18,157
1.0106846076862798e+18,260
1.0106958361490698e+18,10
1.010870382245347e+18,37
1.0108827817372416e+17,12
1.0108842852327113e+18,261
1.0110896069428739e+18,56
1.011098932577011e+18,9
1.0111145794257974e+18,1
1.0111644166455013e+18,1
1.0114122582910735e+18,3
1.0114670687575529e+18,13
1.011580306111145e+18,6
1.0116698620375583e+18,1
1.0119168565880289e+18,5
1.0119846655847526e+18,38
1.0120026692199717e+17,8
1.0120834779650118e+18,57
1.0123131362071494e+18,53
1.0123352289321568e+18,10
1.0124301981145075e+18,42
1.0125272075790326e+18,35
1.0125417783765376e+18,27
1.0126715763168442e+18,2
1.0128914944602904e+18,1
1.0130885943282531e+17,25
1.0132537552535735e+18,9
1.013591676718999e+18,100
1.0137515003693148e+18,4
1.0137608879185718e+18,1
1.0139180205652303e+18,332
1.0141416888093691e+18,66
1.0144075087144792e+18,87
1.0144641977640566e+18,6
1.014850508570798e+18,3
1.0148818721334378e+18,224
1.0149090582165655e+18,4
1.0150710748480872e+18,1
1.0150821074931272e+18,19
1.0151027252918175e+18,5
1.0153838872504008e+17,65
1.0154999215390916e+18,134
1.0156331451117748e+18,1
1.015986268636468e+18,310
1.0161976062244195e+18,8
1.0162290745287763e+18,115
1.0162547603002996e+18,87
1.016321296562696e+18,275
1.016343258510789e+17,135
1.0168766353337024e+18,22
1.0171007169722776e+18,41
1.0173051653890611e+18,1
1.0174348293741755e+18,15
1.0176309085449226e+18,4
1.0177477282504388e+18,1
1.0177790995842642e+18,5
1.017788622030381e+18,121
1.0178433072279859e+18,100
1.0180176309570451e+18,11
1.0181375099303427e+18,86
1.0182258029211572e+18,143
1.0182308701862362e+18,32
1.0183887759826278e+18,30
1.0184559195983096e+18,54
1.0184591242596982e+18,352
1.0186702488790779e+18,10
1.0187913862452484e+16,8
1.0189526616731128e+17,6
1.0193295103877033e+18,43
1.0194349426316484e+18,6
1.0195593894392073e+18,132
1.0197915041641814e+18,5
1.019852732840119e+18,3
1.0199244387083711e+18,22
1.0200241465578627e+18,109
1.0200687653771386e+18,8
1.0203874445524268e+18,3
1.020585348368777e+18,11
1.0207812880058231e+18,61
1.0208322206323465e+18,1
1.0208980149358456e+18,53
1.0209341343882067e+17,6
1.0210737534295556e+18,2
1.0211980163533428e+18,11
1.0212394265292864e+18,1
